2.253644406334380790e-01,6.709321673426006383e-01,1.260371637705574033e-01,4.600221987620911612e-02,7.702856338990421436e-01,2.311454200121310087e-02,3.560758821444026667e-01,9.090773544059272959e-01,7.902692805879206750e-01,9.855611847354821542e-01,1.000000000000000000e+00
8.496574306015871603e-01,1.655377350648876700e-01,6.631898124606052658e-01,6.329720256504879350e-01,8.076866260464945491e-01,7.090194333181520925e-02,3.375965835469153520e-01,9.817247088835545643e-01,6.711432714960474666e-01,6.572085388800752437e-01,1.000000000000000000e+00
3.860816709752004083e-01,9.382368285000074470e-01,1.935664579816521735e-01,9.556946023652830302e-01,9.704102959268680051e-01,1.665402029236531245e-01,2.529137911350628487e-01,8.176590774417193952e-01,4.709434874586628794e-01,5.290952135700015546e-01,1.000000000000000000e+00
6.089561585051033177e-01,1.931887141958542609e-01,8.447103842571740406e-01,6.420490935921476794e-01,4.097248002663869126e-01,4.832849252975908172e-01,7.537195605728668202e-01,6.330868495784330863e-01,8.750041782420538983e-01,8.004552792320230870e-01,1.000000000000000000e+00
4.167703330857851496e-01,8.119950300552689626e-01,3.032616445725220267e-01,5.477076838253847058e-02,3.814438010071606877e-01,9.415014042138473149e-01,7.514668191711703082e-01,9.928650237586863492e-01,1.991334607215730079e-01,7.102729409362246171e-01,1.000000000000000000e+00
2.555409949658423718e-01,5.946845609701614244e-01,8.993255087073660503e-01,7.397259577843471323e-01,1.187135623851626187e-01,1.233095986517556142e-01,6.923981574626196789e-01,8.804911616095284499e-01,1.254453318413775165e-01,3.304236283684901521e-01,1.000000000000000000e+00
5.813639064448001825e-01,3.380303609086700023e-01,1.886354267430634390e-02,8.000999012623531970e-01,7.640878997020195129e-01,2.924790792001032980e-01,6.677659437133497411e-01,2.663889683860555246e-01,9.220790546484826100e-01,3.232345319697641495e-01,1.000000000000000000e+00
4.055274908471604434e-01,4.174871405949744929e-01,9.453843258127186955e-01,5.938250267540023941e-03,3.695516305986891181e-01,7.585651121743073322e-01,1.023450673611870920e-01,9.781057139243641840e-01,7.819114977767760433e-02,6.144837372958051880e-01,1.000000000000000000e+00
7.909660868074547269e-01,9.617763864693806841e-01,6.134616856896579762e-02,7.518072669177633394e-02,8.850459032759619982e-01,8.261358574004706856e-02,1.743490909522040777e-01,5.604658270225260086e-02,3.033536637075628928e-01,4.612794584726991332e-01,1.000000000000000000e+00
2.334637201802999273e-01,7.760232656525088979e-01,2.015099123112451540e-01,7.557250710183096576e-01,4.206283846240238544e-01,9.962218556456609031e-01,9.120033105896022674e-01,3.841238763027637892e-01,9.892203104971630800e-01,6.782513272232734147e-01,1.000000000000000000e+00
